"Stock_Name","Date","Time","Price","Open","Previous Close","Volume","Value (Lacs)","i VWAP","Beta","High","Low"
"Laurus Labs","11-11-2021","09:46:51","463.95","489.55","489.55","4,326,708.00","20,073.76","471.24","0.840.77","491.25","455.25"
"Laurus Labs","11-11-2021","09:52:55","463.95","489.55","489.55","4,326,708.00","20,073.76","471.24","0.840.77","491.25","455.25"
"Laurus Labs","11-11-2021","10:06:54","463.95","489.55","489.55","4,326,708.00","20,073.76","471.24","0.840.77","491.25","455.25"
"Laurus Labs","11-11-2021","10:44:35","462.20","489.55","489.55","5,034,806.00","23,270.87","469.87","0.840.77","491.25","455.25"
"Laurus Labs","11-11-2021","10:59:04","462.20","489.55","489.55","5,034,806.00","23,270.87","469.87","0.840.77","491.25","455.25"
"Laurus Labs","11-11-2021","11:20:36","462.20","489.55","489.55","5,034,806.00","23,270.87","469.87","0.840.77","491.25","455.25"
"Laurus Labs","11-11-2021","11:33:38","462.20","489.55","489.55","5,034,806.00","23,270.87","469.87","0.840.77","491.25","455.25"
"Laurus Labs","11-11-2021","11:52:17","462.20","489.55","489.55","5,034,806.00","23,270.87","469.87","0.840.77","491.25","455.25"
"Laurus Labs","11-11-2021","12:07:30","462.20","489.55","489.55","5,034,806.00","23,270.87","469.87","0.840.77","491.25","455.25"
"Laurus Labs","12-11-2021",2021-11-12 12:09:09,"456.25","462.60","462.20","1,936,003.00","8,833.01","463.16","0.840.77","472.00","455.05"
"Laurus Labs","12-11-2021",2021-11-12 12:23:36,"457.90","462.60","462.20","2,098,028.00","9,604.77","462.68","0.840.77","472.00","455.05"
"Laurus Labs","12-11-2021",2021-11-12 12:41:13,"457.70","462.60","462.20","2,101,207.00","9,617.22","462.67","0.840.77","472.00","455.05"
"Laurus Labs","12-11-2021",2021-11-12 12:57:41,"459.15","462.60","462.20","2,236,320.00","10,268.06","462.41","0.840.77","472.00","455.05"
"Laurus Labs","12-11-2021",2021-11-12 13:06:46,"456.00","462.60","462.20","2,373,607.00","10,823.65","462.10","0.840.77","472.00","455.05"
"Laurus Labs","12-11-2021",2021-11-12 13:15:08,"456.00","462.60","462.20","2,373,607.00","10,823.65","462.10","0.840.77","472.00","455.05"
"Laurus Labs","12-11-2021",2021-11-12 13:24:15,"456.00","462.60","462.20","2,373,607.00","10,823.65","462.10","0.840.77","472.00","455.05"
"Laurus Labs","12-11-2021",2021-11-12 13:43:16,"457.05","462.60","462.20","2,680,101.00","12,249.40","461.36","0.840.77","472.00","454.00"
"Laurus Labs","12-11-2021",2021-11-12 14:10:19,"455.85","462.60","462.20","2,898,672.00","13,213.60","461.01","0.840.77","472.00","454.00"
"Laurus Labs","12-11-2021",2021-11-12 14:17:58,"455.85","462.60","462.20","2,898,672.00","13,213.60","461.01","0.840.77","472.00","454.00"
"Laurus Labs","12-11-2021",2021-11-12 14:26:02,"454.10","462.60","462.20","3,216,111.00","14,604.36","460.35","0.840.77","472.00","454.00"
"Laurus Labs","12-11-2021",2021-11-12 14:41:10,"454.10","462.60","462.20","3,216,111.00","14,604.36","460.35","0.840.77","472.00","454.00"
"Laurus Labs","12-11-2021",2021-11-12 14:59:40,"455.25","462.60","462.20","3,584,899.00","16,320.25","459.71","0.840.77","472.00","452.25"
